id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
104,"Add Customer: The button 'reset' deletes information from all fields and errors' messages",,,,,medium,undefined,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Fill all fields and click he button 'reset'
","1. The button 'reset' deletes information from all fields, but it doesn't work for errors' messages
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
105,"Add Customer: The message 'Please fill all fields' is presented when all fields are empty",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,high,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Leave all fields empty and click on the any empty place
","1. The message 'Please fill all fields' is presented
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
106,"Add Customer: the button 'Submit' adds user to database (with valid values only)",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,high,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Fill all fields with valid values
","1. The button 'Submit' saves an user in database
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
107,"Add Customer: Customer ID must have 6 numbers",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,undefined,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. The user ID is presented on the screen after submitting
","1. User ID has 6 numbers
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
108,"Add Customer: Message 'Please Note Down Your Customer ID' is presented on the screen when user is added to database",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,undefined,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. The user is added to database and the information with user ID is presented on the screen
","1. The message 'Please Note Down Your Customer ID' is presented on the screen
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
109,"Add Customer: Click the button 'home' under customer ID returns customer to the initial page",,"Open the link https://demo.guru99.com/telecom/addcustomer.php",,,undefined,undefined,functional,positive,is-not-automated,actual,no,unknown,classic,"1. Click the button 'home' on the page with user ID
","1. The user will be returned to the initial page
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
142,"Add Customer: The field 'Mobile Number' isn't limited for values","Open the link https://demo.guru99.com/telecom/addcustomer.php","The rest of the fields on this page can be left empty or be filled with any values.
Valid values for the field 'Mobile Number' are numbers.",,,medium,normal,functional,undefined,is-not-automated,actual,no,unknown,classic,"1. Open the page 'Add Customer' and input numbers into the field 'Mobile Number'
","1. The field has no limits for length
","1. Input more than 12 numbers
",,,9,1,"Testing Documentation Galina Fedina",
144,"Add Customer: Dot symbol is not allowed to the field 'enter your address' with valid values",,"The rest of fields can be left empty or filled by any values.",,,medium,normal,functional,undefined,is-not-automated,actual,no,unknown,classic,"1. Input the valid values with dot into the field 'enter your address'.
","1. Symbols dot and comma are allowed to this field.
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
145,"Add Customer: Comma symbol is not allowed to the field 'enter your address' with valid values.",,"The rest of fields can be left empty or filled by any values.",,,medium,normal,functional,undefined,is-not-automated,actual,no,unknown,classic,"1. Input the valid values with comma into the field 'enter your address'.
","1. Symbols dot and comma are allowed to this field.
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
146,"Add Customer: The button 'Delete Customer' exists on the initial page.",,,,,low,normal,functional,negative,is-not-automated,actual,no,unknown,classic,"1. Look at the initial page and check presence of the active button 'delete customer'.
","1. The button 'delete customer' is presented on the initial page.
","1. 
",,,9,1,"Testing Documentation Galina Fedina",
